DayOfWeek, HourOfDay, Branch_,City_,Customer type_,Gender_,Product line_,Unit price,Quantity,Tax 5%,Total,Payment_,cogs,gross margin percentage,gross income,Rating
2, 11, A, Bern, Normal, Male, Electronic accessories, 32.71, 5, 8.1775, 171.7275, Credit card, 163.55, 4.761904762, 8.1775, 9.9
7, 19, C, Geneva, Member, Female, Fashion accessories, 74.29, 1, 3.7145, 78.0045, Cash, 74.29, 4.761904762, 3.7145, 5
2, 18, C, Geneva, Member, Male, Health and beauty, 43.7, 2, 4.37, 91.77, Cash, 87.4, 4.761904762, 4.37, 4.9
6, 10, A, Bern, Normal, Female, Home and lifestyle, 25.29, 1, 1.2645, 26.5545, Ewallet, 25.29, 4.761904762, 1.2645, 6.1
2, 19, C, Geneva, Normal, Male, Health and beauty, 41.5, 4, 8.3, 174.3, Credit card, 166, 4.761904762, 8.3, 8.2
7, 19, C, Geneva, Member, Female, Food and beverages, 71.39, 5, 17.8475, 374.7975, Credit card, 356.95, 4.761904762, 17.8475, 5.5
2, 10, C, Geneva, Member, Female, Sports and travel, 19.15, 6, 5.745, 120.645, Credit card, 114.9, 4.761904762, 5.745, 6.8
5, 11, B, Zurich, Member, Female, Electronic accessories, 57.49, 4, 11.498, 241.458, Cash, 229.96, 4.761904762, 11.498, 6.6
1, 10, C, Geneva, Normal, Male, Electronic accessories, 61.41, 7, 21.4935, 451.3635, Cash, 429.87, 4.761904762, 21.4935, 9.8
3, 14, B, Zurich, Member, Male, Health and beauty, 25.9, 10, 12.95, 271.95, Ewallet, 259, 4.761904762, 12.95, 8.7
5, 12, B, Zurich, Member, Male, Home and lifestyle, 17.77, 5, 4.4425, 93.2925, Credit card, 88.85, 4.761904762, 4.4425, 5.4
4, 12, A, Bern, Normal, Female, Health and beauty, 23.03, 9, 10.3635, 217.6335, Ewallet, 207.27, 4.761904762, 10.3635, 7.9
5, 18, C, Geneva, Member, Female, Electronic accessories, 66.65, 9, 29.9925, 629.8425, Credit card, 599.85, 4.761904762, 29.9925, 9.7
1, 17, C, Geneva, Member, Female, Home and lifestyle, 28.53, 10, 14.265, 299.565, Ewallet, 285.3, 4.761904762, 14.265, 7.8
4, 13, B, Zurich, Normal, Female, Fashion accessories, 30.37, 3, 4.5555, 95.6655, Ewallet, 91.11, 4.761904762, 4.5555, 5.1
6, 19, B, Zurich, Normal, Female, Electronic accessories, 99.73, 9, 44.8785, 942.4485, Credit card, 897.57, 4.761904762, 44.8785, 6.5
5, 20, A, Bern, Normal, Male, Electronic accessories, 26.23, 9, 11.8035, 247.8735, Ewallet, 236.07, 4.761904762, 11.8035, 5.9
3, 18, C, Geneva, Normal, Female, Food and beverages, 93.26, 9, 41.967, 881.307, Cash, 839.34, 4.761904762, 41.967, 8.8
3, 19, B, Zurich, Normal, Male, Home and lifestyle, 92.36, 5, 23.09, 484.89, Ewallet, 461.8, 4.761904762, 23.09, 4.9
5, 13, B, Zurich, Normal, Male, Sports and travel, 46.42, 3, 6.963, 146.223, Credit card, 139.26, 4.761904762, 6.963, 4.4
1, 15, B, Zurich, Member, Female, Sports and travel, 29.61, 7, 10.3635, 217.6335, Cash, 207.27, 4.761904762, 10.3635, 6.5
5, 15, A, Bern, Normal, Male, Home and lifestyle, 18.28, 1, 0.914, 19.194, Credit card, 18.28, 4.761904762, 0.914, 8.3
7, 18, B, Zurich, Normal, Female, Sports and travel, 24.77, 5, 6.1925, 130.0425, Cash, 123.85, 4.761904762, 6.1925, 8.5
4, 16, A, Bern, Member, Female, Electronic accessories, 94.64, 3, 14.196, 298.116, Cash, 283.92, 4.761904762, 14.196, 5.5
2, 12, B, Zurich, Normal, Male, Fashion accessories, 94.87, 8, 37.948, 796.908, Ewallet, 758.96, 4.761904762, 37.948, 8.7
7, 18, B, Zurich, Normal, Female, Food and beverages, 57.34, 3, 8.601, 180.621, Credit card, 172.02, 4.761904762, 8.601, 7.9
4, 13, B, Zurich, Normal, Male, Electronic accessories, 45.35, 6, 13.605, 285.705, Ewallet, 272.1, 4.761904762, 13.605, 6.1
3, 13, B, Zurich, Normal, Male, Food and beverages, 62.08, 7, 21.728, 456.288, Ewallet, 434.56, 4.761904762, 21.728, 5.4
7, 18, C, Geneva, Normal, Male, Electronic accessories, 11.81, 5, 2.9525, 62.0025, Cash, 59.05, 4.761904762, 2.9525, 9.4
4, 12, C, Geneva, Member, Female, Fashion accessories, 12.54, 1, 0.627, 13.167, Cash, 12.54, 4.761904762, 0.627, 8.2
3, 15, A, Bern, Normal, Male, Food and beverages, 43.25, 2, 4.325, 90.825, Cash, 86.5, 4.761904762, 4.325, 6.2
5, 14, C, Geneva, Member, Female, Sports and travel, 87.16, 2, 8.716, 183.036, Credit card, 174.32, 4.761904762, 8.716, 9.7
6, 19, B, Zurich, Member, Male, Health and beauty, 69.37, 9, 31.2165, 655.5465, Ewallet, 624.33, 4.761904762, 31.2165, 4
4, 16, C, Geneva, Member, Male, Electronic accessories, 37.06, 4, 7.412, 155.652, Ewallet, 148.24, 4.761904762, 7.412, 9.7
2, 10, B, Zurich, Member, Female, Electronic accessories, 90.7, 6, 27.21, 571.41, Cash, 544.2, 4.761904762, 27.21, 5.3
1, 12, A, Bern, Normal, Female, Home and lifestyle, 63.42, 8, 25.368, 532.728, Ewallet, 507.36, 4.761904762, 25.368, 7.4
6, 19, B, Zurich, Normal, Female, Fashion accessories, 81.37, 2, 8.137, 170.877, Cash, 162.74, 4.761904762, 8.137, 6.5
2, 13, B, Zurich, Member, Female, Electronic accessories, 10.59, 3, 1.5885, 33.3585, Credit card, 31.77, 4.761904762, 1.5885, 8.7
1, 10, B, Zurich, Normal, Female, Health and beauty, 84.09, 9, 37.8405, 794.6505, Cash, 756.81, 4.761904762, 37.8405, 8
4, 18, B, Zurich, Member, Male, Fashion accessories, 73.82, 4, 14.764, 310.044, Cash, 295.28, 4.761904762, 14.764, 6.7
6, 18, A, Bern, Member, Male, Health and beauty, 51.94, 10, 25.97, 545.37, Ewallet, 519.4, 4.761904762, 25.97, 6.5
7, 18, A, Bern, Normal, Female, Sports and travel, 93.14, 2, 9.314, 195.594, Ewallet, 186.28, 4.761904762, 9.314, 4.1
1, 15, C, Geneva, Normal, Male, Health and beauty, 17.41, 5, 4.3525, 91.4025, Credit card, 87.05, 4.761904762, 4.3525, 4.9
2, 17, C, Geneva, Member, Female, Fashion accessories, 44.22, 5, 11.055, 232.155, Credit card, 221.1, 4.761904762, 11.055, 8.6
6, 19, B, Zurich, Member, Female, Electronic accessories, 13.22, 5, 3.305, 69.405, Cash, 66.1, 4.761904762, 3.305, 4.3
5, 11, A, Bern, Normal, Male, Fashion accessories, 89.69, 1, 4.4845, 94.1745, Ewallet, 89.69, 4.761904762, 4.4845, 4.9
5, 16, A, Bern, Normal, Male, Food and beverages, 24.94, 9, 11.223, 235.683, Credit card, 224.46, 4.761904762, 11.223, 5.6
1, 12, A, Bern, Normal, Male, Health and beauty, 59.77, 2, 5.977, 125.517, Credit card, 119.54, 4.761904762, 5.977, 5.8
4, 18, C, Geneva, Member, Male, Fashion accessories, 93.2, 2, 9.32, 195.72, Credit card, 186.4, 4.761904762, 9.32, 6
6, 11, A, Bern, Member, Male, Home and lifestyle, 62.65, 4, 12.53, 263.13, Cash, 250.6, 4.761904762, 12.53, 4.2
6, 18, B, Zurich, Normal, Male, Home and lifestyle, 93.87, 8, 37.548, 788.508, Credit card, 750.96, 4.761904762, 37.548, 8.3
2, 14, A, Bern, Member, Male, Home and lifestyle, 47.59, 8, 19.036, 399.756, Cash, 380.72, 4.761904762, 19.036, 5.7
6, 19, B, Zurich, Member, Female, Electronic accessories, 81.4, 3, 12.21, 256.41, Cash, 244.2, 4.761904762, 12.21, 4.8
3, 14, A, Bern, Member, Male, Fashion accessories, 17.94, 5, 4.485, 94.185, Ewallet, 89.7, 4.761904762, 4.485, 6.8
1, 16, A, Bern, Member, Male, Electronic accessories, 77.72, 4, 15.544, 326.424, Credit card, 310.88, 4.761904762, 15.544, 8.8
1, 19, B, Zurich, Normal, Male, Food and beverages, 73.06, 7, 25.571, 536.991, Credit card, 511.42, 4.761904762, 25.571, 4.2
6, 15, B, Zurich, Member, Male, Food and beverages, 46.55, 9, 20.9475, 439.8975, Ewallet, 418.95, 4.761904762, 20.9475, 6.4
7, 19, C, Geneva, Member, Male, Fashion accessories, 35.19, 10, 17.595, 369.495, Credit card, 351.9, 4.761904762, 17.595, 8.4
6, 19, C, Geneva, Normal, Female, Sports and travel, 14.39, 2, 1.439, 30.219, Credit card, 28.78, 4.761904762, 1.439, 7.2
6, 11, A, Bern, Normal, Male, Home and lifestyle, 23.75, 4, 4.75, 99.75, Cash, 95, 4.761904762, 4.75, 5.2
7, 11, A, Bern, Member, Male, Home and lifestyle, 58.9, 8, 23.56, 494.76, Cash, 471.2, 4.761904762, 23.56, 8.9
2, 14, B, Zurich, Member, Male, Fashion accessories, 32.62, 4, 6.524, 137.004, Cash, 130.48, 4.761904762, 6.524, 9
4, 10, A, Bern, Member, Male, Electronic accessories, 66.35, 1, 3.3175, 69.6675, Credit card, 66.35, 4.761904762, 3.3175, 9.7
2, 10, A, Bern, Member, Male, Home and lifestyle, 25.91, 6, 7.773, 163.233, Ewallet, 155.46, 4.761904762, 7.773, 8.7
3, 12, A, Bern, Member, Male, Electronic accessories, 32.25, 4, 6.45, 135.45, Ewallet, 129, 4.761904762, 6.45, 6.5
4, 13, C, Geneva, Member, Male, Electronic accessories, 65.94, 4, 13.188, 276.948, Credit card, 263.76, 4.761904762, 13.188, 6.9
2, 13, A, Bern, Normal, Female, Electronic accessories, 75.06, 9, 33.777, 709.317, Ewallet, 675.54, 4.761904762, 33.777, 6.2
4, 14, C, Geneva, Normal, Female, Fashion accessories, 16.45, 4, 3.29, 69.09, Ewallet, 65.8, 4.761904762, 3.29, 5.6
3, 19, B, Zurich, Member, Female, Fashion accessories, 38.3, 4, 7.66, 160.86, Cash, 153.2, 4.761904762, 7.66, 5.7
6, 11, A, Bern, Member, Female, Sports and travel, 22.24, 10, 11.12, 233.52, Cash, 222.4, 4.761904762, 11.12, 4.2
2, 19, B, Zurich, Normal, Male, Sports and travel, 54.45, 1, 2.7225, 57.1725, Ewallet, 54.45, 4.761904762, 2.7225, 7.9
2, 12, A, Bern, Member, Female, Sports and travel, 98.4, 7, 34.44, 723.24, Credit card, 688.8, 4.761904762, 34.44, 8.7
4, 17, C, Geneva, Normal, Male, Home and lifestyle, 35.47, 4, 7.094, 148.974, Credit card, 141.88, 4.761904762, 7.094, 6.9
2, 20, B, Zurich, Member, Female, Food and beverages, 74.6, 10, 37.3, 783.3, Cash, 746, 4.761904762, 37.3, 9.5
6, 16, A, Bern, Member, Male, Home and lifestyle, 70.74, 4, 14.148, 297.108, Credit card, 282.96, 4.761904762, 14.148, 4.4
5, 13, A, Bern, Member, Female, Home and lifestyle, 35.54, 10, 17.77, 373.17, Ewallet, 355.4, 4.761904762, 17.77, 7
3, 18, B, Zurich, Normal, Female, Sports and travel, 67.43, 5, 16.8575, 354.0075, Ewallet, 337.15, 4.761904762, 16.8575, 6.3
4, 19, C, Geneva, Member, Female, Health and beauty, 21.12, 2, 2.112, 44.352, Cash, 42.24, 4.761904762, 2.112, 9.7
1, 11, A, Bern, Member, Female, Home and lifestyle, 21.54, 9, 9.693, 203.553, Credit card, 193.86, 4.761904762, 9.693, 8.8
7, 15, A, Bern, Normal, Female, Home and lifestyle, 12.03, 2, 1.203, 25.263, Cash, 24.06, 4.761904762, 1.203, 5.1
2, 16, B, Zurich, Normal, Female, Health and beauty, 99.71, 6, 29.913, 628.173, Ewallet, 598.26, 4.761904762, 29.913, 7.9
1, 20, B, Zurich, Normal, Male, Fashion accessories, 47.97, 7, 16.7895, 352.5795, Cash, 335.79, 4.761904762, 16.7895, 6.2
1, 17, C, Geneva, Member, Female, Home and lifestyle, 21.82, 10, 10.91, 229.11, Cash, 218.2, 4.761904762, 10.91, 7.1
6, 13, C, Geneva, Normal, Female, Fashion accessories, 95.42, 4, 19.084, 400.764, Ewallet, 381.68, 4.761904762, 19.084, 6.4
3, 16, C, Geneva, Member, Male, Fashion accessories, 70.99, 10, 35.495, 745.395, Cash, 709.9, 4.761904762, 35.495, 5.7
3, 19, A, Bern, Member, Male, Sports and travel, 44.02, 10, 22.01, 462.21, Credit card, 440.2, 4.761904762, 22.01, 9.6
5, 17, A, Bern, Normal, Female, Home and lifestyle, 69.96, 8, 27.984, 587.664, Credit card, 559.68, 4.761904762, 27.984, 6.4
3, 13, C, Geneva, Normal, Male, Home and lifestyle, 37, 1, 1.85, 38.85, Credit card, 37, 4.761904762, 1.85, 7.9
7, 11, A, Bern, Normal, Female, Sports and travel, 15.34, 1, 0.767, 16.107, Cash, 15.34, 4.761904762, 0.767, 6.5
1, 15, A, Bern, Member, Male, Health and beauty, 99.83, 6, 29.949, 628.929, Ewallet, 598.98, 4.761904762, 29.949, 8.5
2, 14, A, Bern, Member, Female, Health and beauty, 47.67, 4, 9.534, 200.214, Cash, 190.68, 4.761904762, 9.534, 9.1
3, 18, B, Zurich, Normal, Male, Health and beauty, 66.68, 5, 16.67, 350.07, Cash, 333.4, 4.761904762, 16.67, 7.6
7, 14, C, Geneva, Member, Male, Home and lifestyle, 74.86, 1, 3.743, 78.603, Cash, 74.86, 4.761904762, 3.743, 6.9
4, 12, C, Geneva, Normal, Female, Sports and travel, 23.75, 9, 10.6875, 224.4375, Cash, 213.75, 4.761904762, 10.6875, 9.5
5, 13, B, Zurich, Normal, Female, Food and beverages, 48.51, 7, 16.9785, 356.5485, Credit card, 339.57, 4.761904762, 16.9785, 5.2
7, 14, A, Bern, Member, Female, Home and lifestyle, 94.88, 7, 33.208, 697.368, Cash, 664.16, 4.761904762, 33.208, 4.2
4, 17, B, Zurich, Member, Male, Electronic accessories, 40.3, 10, 20.15, 423.15, Credit card, 403, 4.761904762, 20.15, 7
4, 17, C, Geneva, Normal, Male, Electronic accessories, 27.85, 7, 9.7475, 204.6975, Ewallet, 194.95, 4.761904762, 9.7475, 6
1, 20, A, Bern, Member, Female, Electronic accessories, 62.48, 1, 3.124, 65.604, Cash, 62.48, 4.761904762, 3.124, 4.7
1, 10, A, Bern, Member, Female, Food and beverages, 36.36, 2, 3.636, 76.356, Cash, 72.72, 4.761904762, 3.636, 7.1
3, 11, B, Zurich, Normal, Male, Health and beauty, 18.11, 10, 9.055, 190.155, Ewallet, 181.1, 4.761904762, 9.055, 5.9
7, 13, C, Geneva, Member, Female, Electronic accessories, 51.92, 5, 12.98, 272.58, Cash, 259.6, 4.761904762, 12.98, 7.5
5, 14, C, Geneva, Normal, Male, Electronic accessories, 28.84, 4, 5.768, 121.128, Cash, 115.36, 4.761904762, 5.768, 6.4
4, 14, A, Bern, Member, Male, Home and lifestyle, 78.38, 6, 23.514, 493.794, Ewallet, 470.28, 4.761904762, 23.514, 5.8
5, 15, A, Bern, Member, Male, Home and lifestyle, 60.01, 4, 12.002, 252.042, Cash, 240.04, 4.761904762, 12.002, 4.5
6, 10, C, Geneva, Member, Female, Home and lifestyle, 88.61, 1, 4.4305, 93.0405, Cash, 88.61, 4.761904762, 4.4305, 7.7
3, 18, C, Geneva, Normal, Male, Fashion accessories, 99.82, 2, 9.982, 209.622, Credit card, 199.64, 4.761904762, 9.982, 6.7
2, 16, B, Zurich, Member, Male, Health and beauty, 39.01, 1, 1.9505, 40.9605, Credit card, 39.01, 4.761904762, 1.9505, 4.7
1, 15, C, Geneva, Normal, Male, Food and beverages, 48.61, 1, 2.4305, 51.0405, Cash, 48.61, 4.761904762, 2.4305, 4.4
1, 17, A, Bern, Normal, Female, Electronic accessories, 51.19, 4, 10.238, 214.998, Credit card, 204.76, 4.761904762, 10.238, 4.7
6, 12, B, Zurich, Normal, Female, Electronic accessories, 14.96, 8, 5.984, 125.664, Cash, 119.68, 4.761904762, 5.984, 8.6
2, 20, A, Bern, Member, Male, Electronic accessories, 72.2, 7, 25.27, 530.67, Ewallet, 505.4, 4.761904762, 25.27, 4.3
6, 13, A, Bern, Normal, Female, Sports and travel, 40.23, 7, 14.0805, 295.6905, Cash, 281.61, 4.761904762, 14.0805, 9.6
7, 17, A, Bern, Member, Female, Home and lifestyle, 88.79, 8, 35.516, 745.836, Cash, 710.32, 4.761904762, 35.516, 4.1
4, 10, A, Bern, Member, Female, Electronic accessories, 26.48, 3, 3.972, 83.412, Ewallet, 79.44, 4.761904762, 3.972, 4.7
2, 17, A, Bern, Normal, Female, Fashion accessories, 81.91, 2, 8.191, 172.011, Cash, 163.82, 4.761904762, 8.191, 7.8
4, 14, B, Zurich, Member, Male, Sports and travel, 79.93, 6, 23.979, 503.559, Cash, 479.58, 4.761904762, 23.979, 5.5
2, 19, C, Geneva, Member, Male, Fashion accessories, 69.33, 2, 6.933, 145.593, Ewallet, 138.66, 4.761904762, 6.933, 9.7
5, 10, A, Bern, Member, Female, Food and beverages, 14.23, 5, 3.5575, 74.7075, Credit card, 71.15, 4.761904762, 3.5575, 4.4
4, 13, A, Bern, Member, Female, Health and beauty, 15.55, 9, 6.9975, 146.9475, Cash, 139.95, 4.761904762, 6.9975, 5
7, 20, C, Geneva, Member, Female, Electronic accessories, 78.13, 10, 39.065, 820.365, Cash, 781.3, 4.761904762, 39.065, 4.4
4, 17, C, Geneva, Member, Male, Food and beverages, 99.37, 2, 9.937, 208.677, Cash, 198.74, 4.761904762, 9.937, 5.2
6, 10, C, Geneva, Member, Female, Food and beverages, 21.08, 3, 3.162, 66.402, Cash, 63.24, 4.761904762, 3.162, 7.3
4, 11, C, Geneva, Member, Male, Electronic accessories, 74.79, 5, 18.6975, 392.6475, Cash, 373.95, 4.761904762, 18.6975, 4.9
1, 18, C, Geneva, Member, Female, Health and beauty, 29.67, 7, 10.3845, 218.0745, Credit card, 207.69, 4.761904762, 10.3845, 8.1
1, 16, C, Geneva, Member, Male, Health and beauty, 44.07, 4, 8.814, 185.094, Ewallet, 176.28, 4.761904762, 8.814, 8.4
2, 20, C, Geneva, Normal, Female, Food and beverages, 22.93, 9, 10.3185, 216.6885, Cash, 206.37, 4.761904762, 10.3185, 5.5
5, 15, C, Geneva, Normal, Female, Health and beauty, 39.42, 1, 1.971, 41.391, Cash, 39.42, 4.761904762, 1.971, 8.4
5, 18, A, Bern, Normal, Male, Health and beauty, 15.26, 6, 4.578, 96.138, Ewallet, 91.56, 4.761904762, 4.578, 9.8
5, 13, A, Bern, Normal, Female, Fashion accessories, 61.77, 5, 15.4425, 324.2925, Cash, 308.85, 4.761904762, 15.4425, 6.7
4, 12, A, Bern, Normal, Male, Home and lifestyle, 21.52, 6, 6.456, 135.576, Credit card, 129.12, 4.761904762, 6.456, 9.4
2, 19, B, Zurich, Normal, Male, Sports and travel, 97.74, 4, 19.548, 410.508, Ewallet, 390.96, 4.761904762, 19.548, 6.4
6, 19, A, Bern, Member, Male, Food and beverages, 99.78, 5, 24.945, 523.845, Cash, 498.9, 4.761904762, 24.945, 5.4
2, 16, C, Geneva, Member, Male, Food and beverages, 94.26, 4, 18.852, 395.892, Cash, 377.04, 4.761904762, 18.852, 8.6
5, 10, B, Zurich, Member, Male, Health and beauty, 51.13, 4, 10.226, 214.746, Credit card, 204.52, 4.761904762, 10.226, 4
1, 13, A, Bern, Member, Male, Electronic accessories, 36.36, 4, 7.272, 152.712, Cash, 145.44, 4.761904762, 7.272, 7.6
4, 18, B, Zurich, Normal, Male, Home and lifestyle, 22.02, 9, 9.909, 208.089, Cash, 198.18, 4.761904762, 9.909, 6.8
7, 17, A, Bern, Normal, Male, Food and beverages, 32.9, 3, 4.935, 103.635, Credit card, 98.7, 4.761904762, 4.935, 9.1
7, 15, A, Bern, Normal, Male, Fashion accessories, 77.02, 5, 19.255, 404.355, Cash, 385.1, 4.761904762, 19.255, 5.5
4, 11, A, Bern, Member, Male, Food and beverages, 23.48, 2, 2.348, 49.308, Credit card, 46.96, 4.761904762, 2.348, 7.9
7, 13, C, Geneva, Member, Male, Sports and travel, 14.7, 5, 3.675, 77.175, Ewallet, 73.5, 4.761904762, 3.675, 8.5
4, 10, A, Bern, Member, Female, Electronic accessories, 28.45, 5, 7.1125, 149.3625, Credit card, 142.25, 4.761904762, 7.1125, 9.1
2, 15, A, Bern, Normal, Male, Fashion accessories, 76.4, 9, 34.38, 721.98, Ewallet, 687.6, 4.761904762, 34.38, 7.5
7, 13, B, Zurich, Normal, Female, Sports and travel, 57.95, 6, 17.385, 365.085, Cash, 347.7, 4.761904762, 17.385, 5.2
4, 12, C, Geneva, Normal, Female, Electronic accessories, 47.65, 3, 7.1475, 150.0975, Credit card, 142.95, 4.761904762, 7.1475, 9.5
2, 15, B, Zurich, Member, Female, Food and beverages, 42.82, 9, 19.269, 404.649, Credit card, 385.38, 4.761904762, 19.269, 8.9
7, 18, B, Zurich, Member, Male, Electronic accessories, 48.09, 3, 7.2135, 151.4835, Credit card, 144.27, 4.761904762, 7.2135, 7.8
2, 19, B, Zurich, Member, Female, Health and beauty, 55.97, 7, 19.5895, 411.3795, Ewallet, 391.79, 4.761904762, 19.5895, 8.9
5, 20, B, Zurich, Member, Female, Health and beauty, 76.9, 7, 26.915, 565.215, Cash, 538.3, 4.761904762, 26.915, 7.7
3, 16, C, Geneva, Normal, Female, Food and beverages, 97.03, 5, 24.2575, 509.4075, Ewallet, 485.15, 4.761904762, 24.2575, 9.3
4, 15, A, Bern, Normal, Male, Sports and travel, 44.65, 3, 6.6975, 140.6475, Cash, 133.95, 4.761904762, 6.6975, 6.2
3, 16, A, Bern, Normal, Female, Fashion accessories, 77.93, 9, 35.0685, 736.4385, Ewallet, 701.37, 4.761904762, 35.0685, 7.6
1, 12, A, Bern, Member, Male, Electronic accessories, 71.95, 1, 3.5975, 75.5475, Cash, 71.95, 4.761904762, 3.5975, 7.3
7, 10, C, Geneva, Member, Female, Home and lifestyle, 89.25, 8, 35.7, 749.7, Cash, 714, 4.761904762, 35.7, 4.7
4, 17, A, Bern, Normal, Male, Electronic accessories, 26.02, 7, 9.107, 191.247, Cash, 182.14, 4.761904762, 9.107, 5.1
3, 11, B, Zurich, Normal, Female, Health and beauty, 13.5, 10, 6.75, 141.75, Credit card, 135, 4.761904762, 6.75, 4.8
5, 14, C, Geneva, Member, Female, Fashion accessories, 99.3, 10, 49.65, 1042.65, Credit card, 993, 4.761904762, 49.65, 6.6
6, 18, A, Bern, Normal, Male, Electronic accessories, 51.69, 7, 18.0915, 379.9215, Cash, 361.83, 4.761904762, 18.0915, 5.5
4, 19, B, Zurich, Member, Female, Fashion accessories, 54.73, 7, 19.1555, 402.2655, Credit card, 383.11, 4.761904762, 19.1555, 8.5
6, 14, B, Zurich, Member, Male, Home and lifestyle, 27, 9, 12.15, 255.15, Cash, 243, 4.761904762, 12.15, 4.8
1, 15, C, Geneva, Normal, Female, Electronic accessories, 30.24, 1, 1.512, 31.752, Cash, 30.24, 4.761904762, 1.512, 8.4
1, 12, B, Zurich, Member, Female, Food and beverages, 89.14, 4, 17.828, 374.388, Credit card, 356.56, 4.761904762, 17.828, 7.8
5, 20, C, Geneva, Normal, Female, Fashion accessories, 37.55, 10, 18.775, 394.275, Credit card, 375.5, 4.761904762, 18.775, 9.3
3, 13, C, Geneva, Normal, Female, Sports and travel, 95.44, 10, 47.72, 1002.12, Cash, 954.4, 4.761904762, 47.72, 5.2
5, 15, B, Zurich, Normal, Male, Electronic accessories, 27.5, 3, 4.125, 86.625, Ewallet, 82.5, 4.761904762, 4.125, 6.5
6, 16, B, Zurich, Normal, Male, Sports and travel, 74.97, 1, 3.7485, 78.7185, Cash, 74.97, 4.761904762, 3.7485, 5.6
7, 11, A, Bern, Member, Male, Food and beverages, 80.96, 8, 32.384, 680.064, Credit card, 647.68, 4.761904762, 32.384, 7.4
3, 15, C, Geneva, Normal, Female, Food and beverages, 94.47, 8, 37.788, 793.548, Cash, 755.76, 4.761904762, 37.788, 9.1
4, 20, C, Geneva, Normal, Male, Food and beverages, 99.79, 2, 9.979, 209.559, Ewallet, 199.58, 4.761904762, 9.979, 8
1, 17, A, Bern, Normal, Male, Home and lifestyle, 73.22, 6, 21.966, 461.286, Cash, 439.32, 4.761904762, 21.966, 7.2
2, 16, C, Geneva, Normal, Female, Food and beverages, 41.24, 4, 8.248, 173.208, Cash, 164.96, 4.761904762, 8.248, 7.1
7, 12, C, Geneva, Normal, Female, Fashion accessories, 81.68, 4, 16.336, 343.056, Cash, 326.72, 4.761904762, 16.336, 9.1
4, 19, C, Geneva, Normal, Female, Electronic accessories, 51.32, 9, 23.094, 484.974, Cash, 461.88, 4.761904762, 23.094, 5.6
7, 10, A, Bern, Member, Male, Home and lifestyle, 65.94, 4, 13.188, 276.948, Cash, 263.76, 4.761904762, 13.188, 6
7, 14, C, Geneva, Normal, Female, Sports and travel, 14.36, 10, 7.18, 150.78, Cash, 143.6, 4.761904762, 7.18, 5.4
3, 12, A, Bern, Member, Male, Electronic accessories, 21.5, 9, 9.675, 203.175, Credit card, 193.5, 4.761904762, 9.675, 7.8
6, 19, B, Zurich, Member, Female, Electronic accessories, 26.26, 7, 9.191, 193.011, Cash, 183.82, 4.761904762, 9.191, 9.9
5, 19, B, Zurich, Normal, Female, Fashion accessories, 60.96, 2, 6.096, 128.016, Credit card, 121.92, 4.761904762, 6.096, 4.9
4, 17, C, Geneva, Normal, Female, Home and lifestyle, 70.11, 6, 21.033, 441.693, Ewallet, 420.66, 4.761904762, 21.033, 5.2
2, 12, C, Geneva, Normal, Male, Fashion accessories, 42.08, 6, 12.624, 265.104, Cash, 252.48, 4.761904762, 12.624, 8.9
4, 16, A, Bern, Normal, Female, Home and lifestyle, 67.09, 5, 16.7725, 352.2225, Credit card, 335.45, 4.761904762, 16.7725, 9.1
1, 12, A, Bern, Member, Female, Fashion accessories, 96.7, 5, 24.175, 507.675, Ewallet, 483.5, 4.761904762, 24.175, 7
6, 19, B, Zurich, Member, Female, Home and lifestyle, 35.38, 9, 15.921, 334.341, Credit card, 318.42, 4.761904762, 15.921, 9.6
5, 18, C, Geneva, Normal, Male, Sports and travel, 95.49, 7, 33.4215, 701.8515, Ewallet, 668.43, 4.761904762, 33.4215, 8.7
3, 17, C, Geneva, Member, Male, Fashion accessories, 96.98, 4, 19.396, 407.316, Ewallet, 387.92, 4.761904762, 19.396, 9.4
3, 13, B, Zurich, Normal, Female, Electronic accessories, 23.65, 4, 4.73, 99.33, Credit card, 94.6, 4.761904762, 4.73, 4
5, 10, A, Bern, Member, Male, Sports and travel, 82.33, 4, 16.466, 345.786, Credit card, 329.32, 4.761904762, 16.466, 7.5
2, 14, C, Geneva, Normal, Female, Electronic accessories, 26.61, 2, 2.661, 55.881, Cash, 53.22, 4.761904762, 2.661, 4.2
1, 12, B, Zurich, Normal, Female, Food and beverages, 99.69, 5, 24.9225, 523.3725, Cash, 498.45, 4.761904762, 24.9225, 9.9
5, 15, C, Geneva, Member, Female, Food and beverages, 74.89, 4, 14.978, 314.538, Ewallet, 299.56, 4.761904762, 14.978, 4.2
7, 13, A, Bern, Normal, Female, Food and beverages, 40.94, 5, 10.235, 214.935, Ewallet, 204.7, 4.761904762, 10.235, 9.9
4, 13, B, Zurich, Member, Male, Sports and travel, 75.82, 1, 3.791, 79.611, Cash, 75.82, 4.761904762, 3.791, 5.8
1, 13, C, Geneva, Normal, Male, Food and beverages, 46.77, 6, 14.031, 294.651, Cash, 280.62, 4.761904762, 14.031, 6
3, 16, A, Bern, Normal, Female, Health and beauty, 32.32, 10, 16.16, 339.36, Credit card, 323.2, 4.761904762, 16.16, 10
7, 14, C, Geneva, Member, Female, Fashion accessories, 54.07, 9, 24.3315, 510.9615, Ewallet, 486.63, 4.761904762, 24.3315, 9.5
